serial_num,price,alpha,position,trade,price_change,pnl
0,18105.30078125,0.0,0,0.0,0.0,0.0
1,18398.960605167085,-0.6302908003332321,-1,-1.0,293.6598239170853,18105.30078125
2,18204.939538099745,-0.1234201240050798,0,1.0,-194.02106706734048,-18204.939538099745
3,18339.357782256004,-0.2402386656854624,0,0.0,134.41824415625888,0.0
4,18578.084798438016,-0.6126254962809314,-1,-1.0,238.72701618201245,18339.357782256004
5,18710.62696692699,-0.3026600758406121,-1,0.0,132.5421684889734,-132.5421684889734
6,18747.607684755916,0.5061224477927544,0,1.0,36.98071782892657,-18747.607684755916
7,18587.233482941076,0.6822208343753222,1,1.0,-160.3742018148405,-18747.607684755916
8,18747.024559005746,-0.4689514516956279,0,-1.0,159.79107606467005,18747.024559005746
9,18492.162826472628,0.3024476661958122,0,0.0,-254.8617325331179,0.0
10,18572.601585375673,-0.1159743550845888,0,0.0,80.4387589030448,0.0
11,18654.07156126157,-0.3878189223127477,0,0.0,81.46997588589875,0.0
12,18541.822238083,0.3276746440368221,0,0.0,-112.2493231785702,0.0
13,18669.21693719775,0.3748524405661624,0,0.0,127.39469911474953,0.0
14,18513.52900474211,-0.1602533557694845,0,0.0,-155.68793245563938,0.0
15,18460.977139057504,-0.1736756905420853,0,0.0,-52.55186568460704,0.0
16,18489.303871292996,-0.4087453393003777,0,0.0,28.326732235491363,0.0
17,18579.486129719313,-1.0210346519706746,-1,-1.0,90.18225842631728,18489.303871292996
18,18433.10268479693,0.2259157494810519,0,1.0,-146.3834449223832,-18433.10268479693
19,18308.218436856972,1.222251210768161,1,1.0,-124.88424793995728,-18433.10268479693
20,17885.294547519345,0.3209615462400035,1,0.0,-422.92388933762777,-422.92388933762777
21,17770.50233336427,0.5351314066296333,1,0.0,-114.79221415507345,-114.79221415507345
22,17491.156124191904,-1.3675510404243905,0,-1.0,-279.3462091723668,17491.156124191904
23,17354.804848100128,0.2737597046771181,0,0.0,-136.35127609177653,0.0
24,17411.443614094966,-0.789901863938937,-1,-1.0,56.63876599483774,17354.804848100128
25,17452.06400757691,-0.2114009065504374,-1,0.0,40.62039348194594,-40.62039348194594
26,17560.39348235746,-0.4398311256725837,-1,0.0,108.32947478054848,-108.32947478054848
27,17542.57498702284,0.1387919156481056,0,1.0,-17.81849533462082,-17542.57498702284
28,17838.07599750851,-0.913362591048588,-1,-1.0,295.5010104856701,17542.57498702284
29,17448.533341424627,-0.2031935083503633,-1,0.0,-389.5426560838823,389.5426560838823
30,17296.63942640049,-0.3809807067764132,-1,0.0,-151.89391502413855,151.89391502413855
31,17361.761784291048,-0.0111779088591743,0,1.0,65.12235789055921,-17361.761784291048
32,17539.528815946174,0.2241447657888775,0,0.0,177.76703165512663,0.0
33,17525.155234247373,-0.3199067953963175,0,0.0,-14.37358169880099,0.0
34,17493.518608159335,0.0342380542070852,0,0.0,-31.63662608803861,0.0
35,17625.814994611825,-0.3735985428694273,0,0.0,132.29638645248997,0.0
36,17827.213157321756,-0.6743658519786493,-1,-1.0,201.39816270993106,17625.814994611825
37,18007.35371684754,-0.1864870188702601,0,1.0,180.14055952578565,-18007.35371684754
38,17771.48512373527,-0.070581275131518,0,0.0,-235.8685931122709,0.0
39,17543.47382323097,-0.3772037803033674,0,0.0,-228.0113005043022,0.0
40,17526.94107320593,0.7331992628110071,1,1.0,-16.532750025038695,-17543.47382323097
41,17552.99400093636,0.5543469911559944,1,0.0,26.052927730430383,26.052927730430383
42,17710.51130248329,-0.5100360984518961,0,-1.0,157.51730154692996,17710.51130248329
43,17948.44716619279,0.357016760638567,0,0.0,237.93586370949924,0.0
44,18035.680246260537,-0.1151918679718708,0,0.0,87.23308006774823,0.0
